A.S. 91040 v2,4.00 cr ,Social Studies 1.2 - Conduct a social inquiry,Social Science Studies,,10SST,Social Studies,Social Science
A.S. 91091 v2,4.00 cr ,Music 1.2 - Demonstrate ensemble skills through performing a piece of music as a member of a group,Music,,MUS6,Music,Arts
A.S. 91092 v2,6.00 cr ,Music 1.3 - Compose two original pieces of music,Music,,MUS6,Music,Arts
A.S. 91093 v1,4.00 cr ,Music 1.4 - Demonstrate aural and theoretical skills through transcription,Music,External,MUS6,Music,Arts
A.S. 91094 v1,4.00 cr ,Music 1.5 - Demonstrate knowledge of conventions used in music scores,Music,External,MUS6,Music,Arts
A.S. 91095 v2,6.00 cr ,Music 1.6 - Demonstrate knowledge of two music works from contrasting contexts,Music,,MUS6,Music,Arts
A.S. 91270 v1,6.00 cr ,Making Music 2.1 - Perform two substantial pieces of music as a featured soloist,Music,,MUS7,Music,Arts
A.S. 91271 v1,6.00 cr ,Making Music 2.4 - Compose two substantial pieces of music,Music,,MUS7,Music,Arts
A.S. 91272 v1,4.00 cr ,Making Music 2.3 - Demonstrate ensemble skills by performing a substantial piece of music as a member of a group,Music,,MUS7,Music,Arts
A.S. 91273 v1,4.00 cr ,Music Studies 2.8 - Devise an instrumentation for an ensemble,Music,,MUS7,Music,Arts
A.S. 91274 v1,3.00 cr ,Making Music 2.2 - Perform a substantial piece of music as a featured soloist on a second instrument,Music,,MUS7,Music,Arts
A.S. 91275 v1,4.00 cr ,Making Music 2.5 - Demonstrate aural understanding through written representation,Music,External,MUS7,Music,Arts
A.S. 91276 v1,4.00 cr ,Music Studies 2.6 - Demonstrate knowledge of conventions in a range of music scores,Music,External,MUS7,Music,Arts
A.S. 91277 v1,6.00 cr ,Music Studies 2.7 - Demonstrate understanding of two substantial contrasting music works,Music,External,MUS7,Music,Arts
A.S. 91278 v1,4.00 cr ,Music Studies 2.9 - Investigate an aspect of New Zealand music,Music,,MUS7,Music,Arts
A.S. 91416 v1,8.00 cr ,Making Music 3.1 - Perform two programmes of music as a featured soloist,Music,,MUS8,Music,Arts
A.S. 91417 v1,4.00 cr ,Making Music 3.2 - Perform a programme of music as a featured soloist on a second instrument,Music,,MUS8,Music,Arts
A.S. 91418 v1,4.00 cr ,Making Music 3.3 - Demonstrate ensemble skills by performing two substantial pieces of music as a member of a group,Music,,MUS8,Music,Arts
A.S. 91419 v1,8.00 cr ,Making Music 3.4 - Communicate musical intention by composing three original pieces of music,Music,,MUS8,Music,Arts
A.S. 91422 v1,4.00 cr ,Music Studies 3.7 - Analyse a substantial music work,Music,External,MUS8,Music,Arts
A.S. 91423 v1,4.00 cr ,Music Studies 3.8 - Examine the influence of context on a substantial music work,Music,,MUS8,Music,Arts
A.S. 91424 v1,4.00 cr ,Music Studies 3.9 - Create two arrangements for an ensemble,Music,,MUS8,Music,Arts
A.S. 91425 v1,6.00 cr ,Music Studies 3.10 - Research a music topic,Music,,MUS8,Music,Arts
A.S. 90989 v1,3.00 cr ,Media Studies 1.1 - Demonstrate understanding of how individuals interact with the media,Social Science Studies,,MUSPRO,Music Project,Arts
A.S. 90993 v1,3.00 cr ,Media Studies 1.5 - Produce a design and plan for a media product using a specified range of conventions,Social Science Studies,,MUSPRO,Music Project,Arts
A.S. 90994 v1,6.00 cr ,Media Studies 1.6 - Complete a media product from a design and plan using a specified range of conventions,Social Science Studies,,MUSPRO,Music Project,Arts
A.S. 90996 v1,3.00 cr ,Media Studies 1.8 - Write media texts for a specific target audience,Social Science Studies,,MUSPRO,Music Project,Arts
A.S. 91090 v2,6.00 cr ,Music 1.1 - Perform two pieces of music as a featured soloist,Music,,MUSPRO,Music Project,Arts
A.S. 91091 v2,4.00 cr ,Music 1.2 - Demonstrate ensemble skills through performing a piece of music as a member of a group,Music,,MUSPRO,Music Project,Arts
A.S. 91092 v2,6.00 cr ,Music 1.3 - Compose two original pieces of music,Music,,MUSPRO,Music Project,Arts
A.S. 91093 v1,4.00 cr ,Music 1.4 - Demonstrate aural and theoretical skills through transcription,Music,External,MUSPRO,Music Project,Arts
A.S. 91094 v1,4.00 cr ,Music 1.5 - Demonstrate knowledge of conventions used in music scores,Music,External,MUSPRO,Music Project,Arts
A.S. 91095 v2,6.00 cr ,Music 1.6 - Demonstrate knowledge of two music works from contrasting contexts,Music,,MUSPRO,Music Project,Arts
A.S. 91270 v1,6.00 cr ,Making Music 2.1 - Perform two substantial pieces of music as a featured soloist,Music,,MUSPRO,Music Project,Arts
A.S. 91271 v1,6.00 cr ,Making Music 2.4 - Compose two substantial pieces of music,Music,,MUSPRO,Music Project,Arts
A.S. 91272 v1,4.00 cr ,Making Music 2.3 - Demonstrate ensemble skills by performing a substantial piece of music as a member of a group,Music,,MUSPRO,Music Project,Arts
A.S. 91273 v1,4.00 cr ,Music Studies 2.8 - Devise an instrumentation for an ensemble,Music,,MUSPRO,Music Project,Arts
A.S. 91274 v1,3.00 cr ,Making Music 2.2 - Perform a substantial piece of music as a featured soloist on a second instrument,Music,,MUSPRO,Music Project,Arts
A.S. 91278 v1,4.00 cr ,Music Studies 2.9 - Investigate an aspect of New Zealand music,Music,,MUSPRO,Music Project,Arts
A.S. 91416 v1,8.00 cr ,Making Music 3.1 - Perform two programmes of music as a featured soloist,Music,,MUSPRO,Music Project,Arts
A.S. 91418 v1,4.00 cr ,Making Music 3.3 - Demonstrate ensemble skills by performing two substantial pieces of music as a member of a group,Music,,MUSPRO,Music Project,Arts
U.S. 26623 v2,4.00 cr ,Use number to solve problems,Core Generic,,MUSPRO,Music Project,Arts
U.S. 26626 v2,3.00 cr ,Interpret statistical information for a purpose,Core Generic,,MUSPRO,Music Project,Arts
U.S. 26627 v2,3.00 cr ,Use measurement to solve problems,Core Generic,,MUSPRO,Music Project,Arts
A.S. 90052 v4,3.00 cr ,English 1.4 - Produce creative writing,English,,MUSPROENG,English - Music Project,English
A.S. 90053 v4,3.00 cr ,English 1.5 - Produce formal writing,English,,MUSPROENG,English - Music Project,English
A.S. 90850 v2,4.00 cr ,"English 1.2 - Show understanding of specified aspect(s) of studied visual or oral text(s), using supporting evidence",English,External,MUSPROENG,English - Music Project,English
A.S. 90852 v1,4.00 cr ,"English 1.8 - Explain significant connection(s) across texts, using supporting evidence",English,,MUSPROENG,English - Music Project,English
A.S. 90853 v1,4.00 cr ,English 1.9 - Use information literacy skills to form conclusion(s),English,,MUSPROENG,English - Music Project,English
A.S. 90854 v1,4.00 cr ,"English 1.10 - Form personal responses to independently read texts, supported by evidence",English,,MUSPROENG,English - Music Project,English
A.S. 90855 v1,3.00 cr ,English 1.7 - Create a visual text,English,,MUSPROENG,English - Music Project,English
A.S. 90856 v1,3.00 cr ,"English 1.11 - Show understanding of visual and/or oral text(s) through close viewing and/or listening, using supporting evidence",English,,MUSPROENG,English - Music Project,English
A.S. 90857 v1,3.00 cr ,English 1.6 - Construct and deliver an oral text,English,,MUSPROENG,English - Music Project,English
A.S. 90989 v1,3.00 cr ,Media Studies 1.1 - Demonstrate understanding of how individuals interact with the media,Social Science Studies,,MUSPROENG,English - Music Project,English
A.S. 91098 v2,4.00 cr ,"English 2.1 - Analyse specified aspect(s) of studied written text(s), supported by evidence",English,External,MUSPROENG,English - Music Project,English
A.S. 91101 v1,6.00 cr ,English 2.4 - Produce a selection of crafted and controlled writing,English,,MUSPROENG,English - Music Project,English
A.S. 91102 v1,3.00 cr ,English 2.5 - Construct and deliver a crafted and controlled oral text,English,,MUSPROENG,English - Music Project,English
A.S. 91104 v1,4.00 cr ,"English 2.7 - Analyse significant connections across texts, supported by evidence",English,,MUSPROENG,English - Music Project,English
A.S. 91105 v1,4.00 cr ,English 2.8 - Use information literacy skills to form developed conclusion(s),English,,MUSPROENG,English - Music Project,English
A.S. 91106 v1,4.00 cr ,"English 2.9 - Form developed personal responses to independently read texts, supported by evidence",English,,MUSPROENG,English - Music Project,English
A.S. 91107 v1,3.00 cr ,"English 2.10 - Analyse aspects of visual and/or oral text(s) through close viewing and/or listening, supported by evidence",English,,MUSPROENG,English - Music Project,English
U.S. 20574 v2,5.00 cr ,Identify plants,Horticulture,,NVI7,Environmental Improvement,Science
U.S. 20789 v1,6.00 cr ,Demonstrate knowledge of possum biology and environmental impact as a pest species,Pest Management,,NVI7,Environmental Improvement,Science
U.S. 22183 v1,5.00 cr ,Plant out horticulture crops by hand,Horticulture,,NVI7,Environmental Improvement,Science
U.S. 27210 v1,6.00 cr ,"Identify and describe weeds, and methods of prevention and control",Primary Sector,,NVI7,Environmental Improvement,Science
U.S. 2765 v5,4.00 cr ,Plant trees and shrubs,Horticulture,,NVI7,Environmental Improvement,Science
U.S. 829 v4,5.00 cr ,Demonstrate knowledge of plant nomenclature,Horticulture,,NVI7,Environmental Improvement,Science
U.S. 20790 v1,6.00 cr ,Demonstrate knowledge of rabbit biology and environmental impact as a pest species,Pest Management,,NVI8,Environmental Improvement,Science
U.S. 21031 v3,10.00 cr ,"Identify annuals, herbaceous perennials, biennials, and bulbs used in amenity horticulture",Horticulture,,NVI8,Environmental Improvement,Science
U.S. 111 v7,5.00 cr ,Use a word processor to produce documents for a business or organisation,Business Administration,,OTE7,Office Technology,DigiTech
U.S. 12884 v6,3.00 cr ,Create electronic documents and manage a file for generic text and information management,Business Administration,,OTE7,Office Technology,DigiTech
U.S. 12885 v6,4.00 cr ,Create and enhance electronic documents combining text and images for generic text and information management,Business Administration,,OTE7,Office Technology,DigiTech
U.S. 2784 v7,3.00 cr ,Create and use a computer spreadsheet to solve a problem,Computing,,OTE7,Office Technology,DigiTech
U.S. 2786 v7,3.00 cr ,Create and use a computer database to solve a problem,Computing,,OTE7,Office Technology,DigiTech
U.S. 2788 v8,5.00 cr ,Produce desktop published documents to meet a set brief,Computing,,OTE7,Office Technology,DigiTech
U.S. 6743 v7,2.00 cr ,Demonstrate an understanding of ergonomic principles for computer workstations,Computing,,OTE7,Office Technology,DigiTech
U.S. 108 v6,5.00 cr ,Apply text processing skills to produce business documents,Business Administration,,OTE8,Office Technology,DigiTech
U.S. 112 v6,5.00 cr ,Produce business or organisational information using word processing functions,Business Administration,,OTE8,Office Technology,DigiTech
U.S. 12886 v6,6.00 cr ,Customise software features and create document templates for generic text and information management,Business Administration,,OTE8,Office Technology,DigiTech
U.S. 12887 v6,6.00 cr ,Integrate text and images and manage multiple files for generic text and information management,Business Administration,,OTE8,Office Technology,DigiTech
U.S. 2785 v7,5.00 cr ,Create a computer spreadsheet to provide a solution for organisation use,Computing,,OTE8,Office Technology,DigiTech
U.S. 2787 v6,6.00 cr ,Create and use a computer database to provide a solution for organisation use,Computing,,OTE8,Office Technology,DigiTech
U.S. 2789 v6,6.00 cr ,Produce desktop published documents for organisation use,Computing,,OTE8,Office Technology,DigiTech
A.S. 90965 v2,4.00 cr ,Physical Education 1.4 - Demonstrate understanding of societal influences on physical activity and the implications for self and others,Health and Physical Education,,PEA6,Physical Education - Alternative,Physical Education
A.S. 90968 v1,3.00 cr ,Physical Education 1.7 - Demonstrate and show responsible behaviour for safety during outdoor education activities,Health and Physical Education,,PEA6,Physical Education - Alternative,Physical Education
A.S. 90969 v1,2.00 cr ,Physical Education 1.8 - Take purposeful action to assist others to participate in physical activity,Health and Physical Education,,PEA6,Physical Education - Alternative,Physical Education
A.S. 90970 v1,3.00 cr ,Physical Education 1.9 - Demonstrate self management strategies and describe the effects on participation in physical activity,Health and Physical Education,,PEA6,Physical Education - Alternative,Physical Education
U.S. 505 v6,3.00 cr ,Manage personal physical fitness with guidance,Fitness,,PEA6,Physical Education - Alternative,Physical Education
A.S. 90971 v1,3.00 cr ,Health 1.1 - Take action to enhance an aspect of personal well-being,Health and Physical Education,,PED5,Physical Education,Physical Education
A.S. 90962 v1,5.00 cr ,Physical Education 1.1 - Participate actively in a variety of physical activities and explain factors that influence own participation,Health and Physical Education,,PEO6,Outdoor Education,Physical Education
A.S. 90963 v1,5.00 cr ,Physical Education 1.2 - Demonstrate understanding of the function of the body as it relates to the performance of physical activity,Health and Physical Education,,PEO6,Outdoor Education,Physical Education
A.S. 90964 v1,3.00 cr ,Physical Education 1.3 - Demonstrate quality movement in the performance of a physical activity,Health and Physical Education,,PEO6,Outdoor Education,Physical Education
A.S. 90965 v1,4.00 cr ,Physical Education 1.4 - Demonstrate understanding of societal influences on physical activity and the implications for self and others,Health and Physical Education,,PEO6,Outdoor Education,Physical Education
A.S. 90966 v1,4.00 cr ,Physical Education 1.5 - Demonstrate interpersonal skills in a group and explain how these skills impact on others,Health and Physical Education,,PEO6,Outdoor Education,Physical Education
A.S. 90967 v1,3.00 cr ,Physical Education 1.6 - Demonstrate strategies to improve the performance of a physical activity and describe the outcomes,Health and Physical Education,,PEO6,Outdoor Education,Physical Education
A.S. 91328 v1,5.00 cr ,Physical Education 2.2 - Demonstrate understanding of how and why biophysical principles relate to the learning of physical skills,Health and Physical Education,,PEO7,Outdoor Education,Physical Education
A.S. 91329 v1,4.00 cr ,Physical Education 2.3 - Demonstrate understanding of the application of biophysical principles to training for physical activity,Health and Physical Education,,PEO7,Outdoor Education,Physical Education
A.S. 91330 v1,4.00 cr ,Physical Education 2.4 - Perform a physical activity in an applied setting,Health and Physical Education,,PEO7,Outdoor Education,Physical Education
A.S. 91331 v1,4.00 cr ,"Physical Education 2.5 - Examine the significance for self, others and society of a sporting event, a physical activity, or a festival",Health and Physical Education,,PEO7,Outdoor Education,Physical Education
A.S. 91332 v1,4.00 cr ,Physical Education 2.6 - Evaluate leadership strategies that contribute to the effective functioning of a group,Health and Physical Education,,PEO7,Outdoor Education,Physical Education
A.S. 91333 v1,3.00 cr ,Physical Education 2.7 - Analyse the application of risk management strategies to a challenging outdoor activity,Health and Physical Education,,PEO7,Outdoor Education,Physical Education
A.S. 91498 v1,4.00 cr ,Physical Education 3.1 - Evaluate physical activity experiences to devise strategies for lifelong well-being,Health and Physical Education,,PEO8,Outdoor Education,Physical Education
A.S. 91499 v1,3.00 cr ,Physical Education 3.2 - Analyse a physical skill performed by self or others,Health and Physical Education,,PEO8,Outdoor Education,Physical Education
A.S. 91500 v1,4.00 cr ,Physical Education 3.3 - Evaluate the effectiveness of a performance improvement programme,Health and Physical Education,,PEO8,Outdoor Education,Physical Education
A.S. 91501 v1,4.00 cr ,Physical Education 3.4 - Demonstrate quality performance of a physical activity in an applied setting,Health and Physical Education,,PEO8,Outdoor Education,Physical Education
A.S. 91502 v1,4.00 cr ,"Physical Education 3.5 - Examine a current physical activity event, trend, or issue and its impact on New Zealand society",Health and Physical Education,,PEO8,Outdoor Education,Physical Education
A.S. 91504 v1,3.00 cr ,Physical Education 3.7 - Analyse issues in safety management for outdoor activity to devise safety management strategies,Health and Physical Education,,PEO8,Outdoor Education,Physical Education
A.S. 90962 v1,5.00 cr ,Physical Education 1.1 - Participate actively in a variety of physical activities and explain factors that influence own participation,Health and Physical Education,,PES6,Sports Science,Physical Education
A.S. 90963 v1,5.00 cr ,Physical Education 1.2 - Demonstrate understanding of the function of the body as it relates to the performance of physical activity,Health and Physical Education,,PES6,Sports Science,Physical Education
A.S. 90964 v1,3.00 cr ,Physical Education 1.3 - Demonstrate quality movement in the performance of a physical activity,Health and Physical Education,,PES6,Sports Science,Physical Education
A.S. 90965 v1,4.00 cr ,Physical Education 1.4 - Demonstrate understanding of societal influences on physical activity and the implications for self and others,Health and Physical Education,,PES6,Sports Science,Physical Education
A.S. 90966 v1,4.00 cr ,Physical Education 1.5 - Demonstrate interpersonal skills in a group and explain how these skills impact on others,Health and Physical Education,,PES6,Sports Science,Physical Education
A.S. 90967 v1,3.00 cr ,Physical Education 1.6 - Demonstrate strategies to improve the performance of a physical activity and describe the outcomes,Health and Physical Education,,PES6,Sports Science,Physical Education
A.S. 91328 v1,5.00 cr ,Physical Education 2.2 - Demonstrate understanding of how and why biophysical principles relate to the learning of physical skills,Health and Physical Education,,PES7,Sports Science,Physical Education
A.S. 91329 v1,4.00 cr ,Physical Education 2.3 - Demonstrate understanding of the application of biophysical principles to training for physical activity,Health and Physical Education,,PES7,Sports Science,Physical Education
A.S. 91330 v1,4.00 cr ,Physical Education 2.4 - Perform a physical activity in an applied setting,Health and Physical Education,,PES7,Sports Science,Physical Education
A.S. 91331 v1,4.00 cr ,"Physical Education 2.5 - Examine the significance for self, others and society of a sporting event, a physical activity, or a festival",Health and Physical Education,,PES7,Sports Science,Physical Education
A.S. 91332 v1,4.00 cr ,Physical Education 2.6 - Evaluate leadership strategies that contribute to the effective functioning of a group,Health and Physical Education,,PES7,Sports Science,Physical Education
A.S. 91333 v1,3.00 cr ,Physical Education 2.7 - Analyse the application of risk management strategies to a challenging outdoor activity,Health and Physical Education,,PES7,Sports Science,Physical Education
A.S. 91498 v1,4.00 cr ,Physical Education 3.1 - Evaluate physical activity experiences to devise strategies for lifelong well-being,Health and Physical Education,,PES8,Sports Science,Physical Education
A.S. 91499 v1,3.00 cr ,Physical Education 3.2 - Analyse a physical skill performed by self or others,Health and Physical Education,,PES8,Sports Science,Physical Education
A.S. 91500 v1,4.00 cr ,Physical Education 3.3 - Evaluate the effectiveness of a performance improvement programme,Health and Physical Education,,PES8,Sports Science,Physical Education
A.S. 91501 v1,4.00 cr ,Physical Education 3.4 - Demonstrate quality performance of a physical activity in an applied setting,Health and Physical Education,,PES8,Sports Science,Physical Education
A.S. 91502 v1,4.00 cr ,"Physical Education 3.5 - Examine a current physical activity event, trend, or issue and its impact on New Zealand society",Health and Physical Education,,PES8,Sports Science,Physical Education
A.S. 91504 v1,3.00 cr ,Physical Education 3.7 - Analyse issues in safety management for outdoor activity to devise safety management strategies,Health and Physical Education,,PES8,Sports Science,Physical Education
A.S. 91168 v1,4.00 cr ,Physics 2.1 - Carry out a practical physics investigation that leads to a non-linear mathematical relationship,Science,,PHY7,Physics,Science
A.S. 91169 v1,3.00 cr ,Physics 2.2 - Demonstrate understanding of physics relevant to a selected context,Science,,PHY7,Physics,Science
A.S. 91170 v1,4.00 cr ,Physics 2.3 - Demonstrate understanding of waves,Science,External,PHY7,Physics,Science
A.S. 91171 v1,6.00 cr ,Physics 2.4 - Demonstrate understanding of mechanics,Science,External,PHY7,Physics,Science
A.S. 91172 v1,3.00 cr ,Physics 2.5 - Demonstrate understanding of atomic and nuclear physics,Science,,PHY7,Physics,Science
A.S. 91173 v1,6.00 cr ,Physics 2.6 - Demonstrate understanding of electricity and electromagnetism,Science,External,PHY7,Physics,Science
A.S. 91521 v1,4.00 cr ,Physics 3.1 - Carry out a practical investigation to test a physics theory relating two variables in a non-linear relationship,Science,,PHY8,Physics,Science
A.S. 91522 v1,3.00 cr ,Physics 3.2 - Demonstrate understanding of the application of physics to a selected context,Science,,PHY8,Physics,Science
A.S. 91523 v1,4.00 cr ,Physics 3.3 - Demonstrate understanding of wave systems,Science,External,PHY8,Physics,Science
A.S. 91524 v1,6.00 cr ,Physics 3.4 - Demonstrate understanding of mechanical systems,Science,External,PHY8,Physics,Science
A.S. 91525 v1,3.00 cr ,Physics 3.5 - Demonstrate understanding of Modern Physics,Science,,PHY8,Physics,Science
A.S. 91526 v1,6.00 cr ,Physics 3.6 - Demonstrate understanding of electrical systems,Science,External,PHY8,Physics,Science
A.S. 91527 v1,3.00 cr ,Physics 3.7 - Use physics knowledge to develop an informed response to a socio-scientific issue,Science,,PHY8,Physics,Science
A.S. 90930 v2,4.00 cr ,"Chemistry 1.1 - Carry out a practical chemistry investigation, with direction",Science,,SCA6,Science Alternative,Science
A.S. 90935 v2,4.00 cr ,"Physics 1.1 - Carry out a practical physics investigation that leads to a linear mathematical relationship, with direction",Science,,SCA6,Science Alternative,Science
A.S. 90954 v1,4.00 cr ,Science 1.15 - Demonstrate understanding of the effects of astronomical cycles on planet Earth,Science,,SCA6,Science Alternative,Science
U.S. 18969 v4,2.00 cr ,"Demonstrate knowledge of the characteristics of living things, organs, and an organ system",Science,,SCA6,Science Alternative,Science
U.S. 18973 v5,2.00 cr ,Demonstrate knowledge of matter,Science,,SCA6,Science Alternative,Science
U.S. 18974 v4,2.00 cr ,Demonstrate knowledge of chemical change,Science,,SCA6,Science Alternative,Science
U.S. 18977 v4,2.00 cr ,Demonstrate knowledge of the generation and use of electricity,Science,,SCA6,Science Alternative,Science
U.S. 18982 v5,2.00 cr ,Demonstrate knowledge of Earth science,Science,,SCA6,Science Alternative,Science
U.S. 18986 v5,2.00 cr ,Select and use scientific equipment,Science,,SCA6,Science Alternative,Science
U.S. 18989 v5,2.00 cr ,Demonstrate knowledge of Earth and space,Science,,SCA6,Science Alternative,Science
U.S. 21611 v4,2.00 cr ,Follow instructions to carry out and report on a practical scientific activity,Science,,SCA6,Science Alternative,Science
A.S. 91160 v1,3.00 cr ,Biology 2.8 - Investigate biological material at the microscopic level,Science,,SCA7,Science Alternative,Science
A.S. 91162 v1,3.00 cr ,Chemistry 2.2 - Carry out procedures to identify ions present in solution,Science,,SCA7,Science Alternative,Science
A.S. 91187 v1,4.00 cr ,Earth and Space Science 2.1 - Carry out a practical Earth and Space Science investigation,Science,,SCA7,Science Alternative,Science
A.S. 91189 v1,4.00 cr ,Earth and Space Science 2.3 - Investigate geological processes in a New Zealand locality,Science,,SCA7,Science Alternative,Science
U.S. 21611 v5,2.00 cr ,Follow instructions to carry out and report on a practical scientific activity,Science,,SCI4,Science,Science
A.S. 90943 v1,4.00 cr ,Science 1.4 - Investigate implications of heat for everyday life,Science,,SCI5,Science,Science
A.S. 90955 v1,4.00 cr ,Science 1.16 - Investigate an astronomical or Earth science event,Science,,SCI5,Science,Science
U.S. 21611 v5,2.00 cr ,Follow instructions to carry out and report on a practical scientific activity,Science,,SCI5,Science,Science
A.S. 90930 v1,4.00 cr ,"Chemistry 1.1 - Carry out a practical chemistry investigation, with direction",Science,,SCI5E,Science,Science
A.S. 90935 v1,4.00 cr ,"Physics 1.1 - Carry out a practical physics investigation that leads to a linear mathematical relationship, with direction",Science,,SCI5E,Science,Science
A.S. 90940 v2,4.00 cr ,Science 1.1 - Demonstrate understanding of aspects of mechanics,Science,External,SCI5E,Science,Science
A.S. 90944 v3,4.00 cr ,Science 1.5 - Demonstrate understanding of aspects of acids and bases,Science,External,SCI5E,Science,Science
A.S. 90947 v2,4.00 cr ,Science 1.8 - Investigate selected chemical reactions,Science,,SCI5E,Science,Science
A.S. 90948 v2,4.00 cr ,Science 1.9 - Demonstrate understanding of biological ideas relating to genetic variation,Science,External,SCI5E,Science,Science
A.S. 90954 v1,4.00 cr ,Science 1.15 - Demonstrate understanding of the effects of astronomical cycles on planet Earth,Science,,SCI5E,Science,Science
A.S. 90930 v2,4.00 cr ,"Chemistry 1.1 - Carry out a practical chemistry investigation, with direction",Science,,SCI6,Science,Science
A.S. 90935 v2,4.00 cr ,"Physics 1.1 - Carry out a practical physics investigation that leads to a linear mathematical relationship, with direction",Science,,SCI6,Science,Science
A.S. 90940 v2,4.00 cr ,Science 1.1 - Demonstrate understanding of aspects of mechanics,Science,External,SCI6,Science,Science
A.S. 90944 v3,4.00 cr ,Science 1.5 - Demonstrate understanding of aspects of acids and bases,Science,External,SCI6,Science,Science
A.S. 90946 v2,4.00 cr ,Science 1.7 - Investigate the implications of the properties of metals for their use in society,Science,,SCI6,Science,Science
A.S. 90948 v2,4.00 cr ,Science 1.9 - Demonstrate understanding of biological ideas relating to genetic variation,Science,External,SCI6,Science,Science
A.S. 90954 v1,4.00 cr ,Science 1.15 - Demonstrate understanding of the effects of astronomical cycles on planet Earth,Science,,SCI6,Science,Science
A.S. 90932 v2,4.00 cr ,Chemistry 1.3 - Demonstrate understanding of aspects of carbon chemistry,Science,External,SCX6,Science,Science
A.S. 90933 v3,4.00 cr ,Chemistry 1.4 - Demonstrate understanding of aspects of selected elements,Science,External,SCX6,Science,Science
A.S. 90937 v2,4.00 cr ,Physics 1.3 - Demonstrate understanding of aspects of electricity and magnetism,Science,External,SCX6,Science,Science
A.S. 90938 v2,4.00 cr ,Physics 1.4 - Demonstrate understanding of aspects of wave behaviour,Science,External,SCX6,Science,Science
A.S. 90951 v2,4.00 cr ,Science 1.12 - Investigate the biological impact of an event on a New Zealand ecosystem,Science,,SCX6,Science,Science
A.S. 90955 v2,4.00 cr ,Science 1.16 - Investigate an astronomical or Earth science event,Science,,SCX6,Science,Science
A.S. 90908 v1,5.00 cr ,Spanish 1.1 - Demonstrate understanding of a variety of spoken Spanish texts on areas of most immediate relevance,Languages,External,SPN6,Spanish,Languages
A.S. 90909 v1,4.00 cr ,Spanish 1.2 - Give a spoken presentation in Spanish that communicates a personal response,Languages,,SPN6,Spanish,Languages
A.S. 90911 v1,5.00 cr ,Spanish 1.4 - Demonstrate understanding of a variety of Spanish texts on areas of most immediate relevance,Languages,External,SPN6,Spanish,Languages
A.S. 90912 v1,5.00 cr ,Spanish 1.5 - Write a variety of text types in Spanish on areas of most immediate relevance,Languages,,SPN6,Spanish,Languages
A.S. 91148 v2,5.00 cr ,Spanish 2.1 - Demonstrate understanding of a variety of spoken Spanish texts on familiar matters,Languages,External,SPN7,Spanish,Languages
A.S. 91150 v1,4.00 cr ,"Spanish 2.2 - Give a spoken presentation in Spanish that communicates information, ideas and opinions",Languages,,SPN7,Spanish,Languages
A.S. 91151 v2,5.00 cr ,Spanish 2.4 - Demonstrate understanding of a variety of written and/or visual Spanish text(s) on familiar matters,Languages,External,SPN7,Spanish,Languages
A.S. 91152 v1,5.00 cr ,"Spanish 2.5 - Write a variety of text types in Spanish to convey information, ideas, and opinions in genuine contexts",Languages,,SPN7,Spanish,Languages
A.S. 91568 v2,5.00 cr ,Spanish 3.1 - Demonstrate understanding of a variety of extended spoken Spanish texts,Languages,External,SPN8,Spanish,Languages
A.S. 91569 v1,3.00 cr ,Spanish 3.2 - Give a clear spoken presentation in Spanish that communicates a critical response to stimulus material,Languages,,SPN8,Spanish,Languages
A.S. 91571 v1,5.00 cr ,Spanish 3.4 - Demonstrate understanding of a variety of extended written and/or visual Spanish texts,Languages,External,SPN8,Spanish,Languages
A.S. 91572 v1,5.00 cr ,Spanish 3.5 - Write a variety of text types in clear Spanish to explore and justify varied ideas and perspectives,Languages,,SPN8,Spanish,Languages
A.S. 91344 v2,6.00 cr ,Construction and Mechanical Technologies 2.20 - Implement advanced procedures using resistant materials to make a specified product with special features,Technology,,TEA7,Technical Academy,Technology
U.S. 19053 v3,3.00 cr ,Ride a motorcycle on flat terrain,Agriculture,,TEA7,Technical Academy,Technology
U.S. 19054 v3,3.00 cr ,Ride a motorcycle on hilly terrain,Agriculture,,TEA7,Technical Academy,Technology
U.S. 19055 v3,3.00 cr ,Ride a motorcycle with mounted equipment or a load,Agriculture,,TEA7,Technical Academy,Technology
U.S. 20917 v3,2.00 cr ,Demonstrate basic knowledge of engineering materials,Mechanical Engineering,,TEA7,Technical Academy,Technology
U.S. 21905 v2,6.00 cr ,Demonstrate knowledge of trade calculations and units for mechanical engineering trades,Mechanical Engineering,,TEA7,Technical Academy,Technology
U.S. 21907 v2,3.00 cr ,Demonstrate and apply knowledge of safe welding procedures under supervision,Mechanical Engineering,,TEA7,Technical Academy,Technology
U.S. 21908 v3,3.00 cr ,Demonstrate knowledge of basic mechanics for mechanical engineering trades,Mechanical Engineering,,TEA7,Technical Academy,Technology
U.S. 21911 v2,2.00 cr ,Demonstrate knowledge of safety on engineering worksites,Mechanical Engineering,,TEA7,Technical Academy,Technology
U.S. 22923 v2,12.00 cr ,Demonstrate basic engineering workshop skills under close supervision,Mechanical Engineering,,TEA7,Technical Academy,Technology
U.S. 22926 v2,2.00 cr ,Demonstrate knowledge of safety procedures in a specific engineering workshop,Mechanical Engineering,,TEA7,Technical Academy,Technology
U.S. 2387 v6,2.00 cr ,Assemble mechanical components under supervision,Mechanical Engineering,,TEA7,Technical Academy,Technology
