U.S. 18974 v4,2.00 cr ,Demonstrate knowledge of chemical change,Science,,SCA6,Science,54
U.S. 18977 v4,2.00 cr ,Demonstrate knowledge of the generation and use of electricity,Science,,SCA6,Science,54
U.S. 18982 v5,2.00 cr ,Demonstrate knowledge of Earth science,Science,,SCA6,Science,47
U.S. 18986 v5,2.00 cr ,Select and use scientific equipment,Science,,SCA6,Science,52
U.S. 18989 v5,2.00 cr ,Demonstrate knowledge of Earth and space,Science,,SCA6,Science,53
U.S. 21611 v4,2.00 cr ,Follow instructions to carry out and report on a practical scientific activity,Science,,SCA6,Science,53
A.S. 91160 v1,3.00 cr ,Biology 2.8 - Investigate biological material at the microscopic level,Science,,SCA7,Science,19
A.S. 91162 v1,3.00 cr ,Chemistry 2.2 - Carry out procedures to identify ions present in solution,Science,,SCA7,Science,20
A.S. 91187 v1,4.00 cr ,Earth and Space Science 2.1 - Carry out a practical Earth and Space Science investigation,Science,,SCA7,Science,19
A.S. 91189 v1,4.00 cr ,Earth and Space Science 2.3 - Investigate geological processes in a New Zealand locality,Science,,SCA7,Science,19
U.S. 18982 v6,2.00 cr ,Demonstrate knowledge of Earth science,Science,,SCI4,Science,
U.S. 21611 v5,2.00 cr ,Follow instructions to carry out and report on a practical scientific activity,Science,,SCI4,Science,
A.S. 90943 v1,4.00 cr ,Science 1.4 - Investigate implications of heat for everyday life,Science,,SCI5,Science,
A.S. 90955 v1,4.00 cr ,Science 1.16 - Investigate an astronomical or Earth science event,Science,,SCI5,Science,
U.S. 18982 v6,2.00 cr ,Demonstrate knowledge of Earth science,Science,,SCI5,Science,
U.S. 21611 v5,2.00 cr ,Follow instructions to carry out and report on a practical scientific activity,Science,,SCI5,Science,
A.S. 90930 v3,4.00 cr ,"Chemistry 1.1 - Carry out a practical chemistry investigation, with direction",Science,,SCI5E,Science,29
A.S. 90935 v3,4.00 cr ,"Physics 1.1 - Carry out a practical physics investigation that leads to a linear mathematical relationship, with direction",Science,,SCI5E,Science,29
A.S. 90940 v3,4.00 cr ,Science 1.1 - Demonstrate understanding of aspects of mechanics,Science,External,SCI5E,Science,29
A.S. 90944 v4,4.00 cr ,Science 1.5 - Demonstrate understanding of aspects of acids and bases,Science,External,SCI5E,Science,29
A.S. 90947 v4,4.00 cr ,Science 1.8 - Investigate selected chemical reactions,Science,,SCI5E,Science,
A.S. 90948 v3,4.00 cr ,Science 1.9 - Demonstrate understanding of biological ideas relating to genetic variation,Science,External,SCI5E,Science,29
A.S. 90954 v3,4.00 cr ,Science 1.15 - Demonstrate understanding of the effects of astronomical cycles on planet Earth,Science,,SCI5E,Science,29
A.S. 90930 v3,4.00 cr ,"Chemistry 1.1 - Carry out a practical chemistry investigation, with direction",Science,,SCI6,Science,93
A.S. 90935 v3,4.00 cr ,"Physics 1.1 - Carry out a practical physics investigation that leads to a linear mathematical relationship, with direction",Science,,SCI6,Science,94
A.S. 90940 v3,4.00 cr ,Science 1.1 - Demonstrate understanding of aspects of mechanics,Science,External,SCI6,Science,83
A.S. 90944 v4,4.00 cr ,Science 1.5 - Demonstrate understanding of aspects of acids and bases,Science,External,SCI6,Science,
A.S. 90946 v3,4.00 cr ,Science 1.7 - Investigate the implications of the properties of metals for their use in society,Science,,SCI6,Science,87
A.S. 90948 v3,4.00 cr ,Science 1.9 - Demonstrate understanding of biological ideas relating to genetic variation,Science,External,SCI6,Science,86
A.S. 90954 v3,4.00 cr ,Science 1.15 - Demonstrate understanding of the effects of astronomical cycles on planet Earth,Science,,SCI6,Science,95
A.S. 91040 v2,4.00 cr ,Social Studies 1.2 - Conduct a social inquiry,Social Science Studies,,10SST,Social Science,56
U.S. 12352 v5,3.00 cr ,"Describe aspects of one's own lineage, heritage, and cultural identity",Core Generic,,10SST,Social Science,28
U.S. 26622 v2,4.00 cr ,Write to communicate ideas for a purpose and audience,Core Generic,,10SST,Social Science,41
U.S. 26624 v2,3.00 cr ,Read texts with understanding,Core Generic,,10SST,Social Science,26
U.S. 26625 v2,3.00 cr ,Actively participate in spoken interactions,Core Generic,,10SST,Social Science,
A.S. 90976 v3,3.00 cr ,Accounting 1.1 - Demonstrate understanding of accounting concepts for small entities,Accounting,External,ACC6,Social Science,2
A.S. 90977 v3,5.00 cr ,Accounting 1.2 - Process financial transactions for a small entity,Accounting,,ACC6,Social Science,23
A.S. 90978 v3,5.00 cr ,Accounting 1.3 - Prepare financial statements for sole proprietors,Accounting,External,ACC6,Social Science,21
A.S. 90979 v3,4.00 cr ,Accounting 1.4 - Prepare financial information for a community organisation's annual general meeting,Accounting,,ACC6,Social Science,24
A.S. 90980 v3,4.00 cr ,Accounting 1.5 - Interpret accounting information for sole proprietors,Accounting,External,ACC6,Social Science,11
A.S. 91174 v2,4.00 cr ,Accounting 2.1 - Demonstrate understanding of accounting concepts for an entity that operates accounting subsystems,Accounting,External,ACC7,Social Science,7
A.S. 91175 v1,4.00 cr ,Accounting 2.2 - Demonstrate understanding of accounting processing using accounting software,Accounting,,ACC7,Social Science,20
A.S. 91176 v2,5.00 cr ,Accounting 2.3 - Prepare financial information for an entity that operates accounting subsystems,Accounting,External,ACC7,Social Science,18
A.S. 91177 v2,4.00 cr ,Accounting 2.4 - Interpret accounting information for entities that operate accounting subsystems,Accounting,External,ACC7,Social Science,9
A.S. 91179 v1,3.00 cr ,Accounting 2.6 - Demonstrate understanding of an accounts receivable subsystem for an entity,Accounting,,ACC7,Social Science,19
A.S. 91481 v1,4.00 cr ,Accounting 2.5 - Demonstrate understanding of a topical accounting issue for decision-making,Accounting,,ACC7,Social Science,16
A.S. 91404 v1,4.00 cr ,Accounting 3.1 - Demonstrate understanding of accounting concepts for a New Zealand reporting entity,Accounting,External,ACC8,Social Science,
A.S. 91405 v1,4.00 cr ,Accounting 3.2 - Demonstrate understanding of accounting for partnerships,Accounting,,ACC8,Social Science,16
A.S. 91406 v1,5.00 cr ,Accounting 3.3 - Demonstrate understanding of company financial statement preparation,Accounting,External,ACC8,Social Science,16
A.S. 91407 v1,5.00 cr ,Accounting 3.4 - Prepare a report for an external user that interprets the annual report of a New Zealand reporting entity,Accounting,,ACC8,Social Science,16
A.S. 91408 v1,4.00 cr ,Accounting 3.5 - Demonstrate understanding of management accounting to inform decision-making,Accounting,External,ACC8,Social Science,6
A.S. 91409 v1,4.00 cr ,Accounting 3.6 - Demonstrate understanding of a job cost subsystem for an entity,Accounting,,ACC8,Social Science,16
A.S. 90840 v1,3.00 cr ,Business Studies 1.4 - Apply the marketing mix to a new or existing product,Business Operations and Development,,BUS6,Social Science,32
A.S. 90842 v1,6.00 cr ,Business Studies 1.6 - Carry out and review a product-based business activity within a classroom context with direction,Business Operations and Development,,BUS6,Social Science,32
A.S. 90981 v2,3.00 cr ,Accounting 1.6 - Make a financial decision for an individual or group,Accounting,,BUS6,Social Science,32
A.S. 90984 v2,5.00 cr ,Economics 1.2 - Demonstrate understanding of decisions a producer makes about production,Economic Theory and Practice,,BUS6,Social Science,32
A.S. 90846 v2,3.00 cr ,Business Studies 2.4 - Conduct market research for a new or existing product,Business Operations and Development,,BUS7,Social Science,16
A.S. 90848 v2,9.00 cr ,"Business Studies 2.6 - Carry out, review and refine a business activity within a community context with guidance",Business Operations and Development,,BUS7,Social Science,16
U.S. 10791 v4,3.00 cr ,Participate in an informal meeting,Communication Skills,,BUS7,Social Science,16
U.S. 4252 v6,2.00 cr ,Produce a personal targeted CV (curriculum vitae),Core Generic,,BUS7,Social Science,16
U.S. 10020 v4,2.00 cr ,Describe personal and environmental hygiene and safety practices in an ECE service,Early Childhood Education and Care,,CHC7,Social Science,20
U.S. 10021 v4,3.00 cr ,Describe the basic needs of children in an ECE service,Early Childhood Education and Care,,CHC7,Social Science,20
U.S. 10022 v4,3.00 cr ,Demonstrate knowledge of attachment patterns and short-term separation in an ECE service,Early Childhood Education and Care,,CHC7,Social Science,15
U.S. 10023 v4,2.00 cr ,Describe transition situations in an ECE service,Early Childhood Education and Care,,CHC7,Social Science,15
U.S. 10024 v4,3.00 cr ,Demonstrate knowledge of promoting the health and wellbeing of children in an ECE service,Early Childhood Education and Care,,CHC7,Social Science,20
U.S. 10032 v4,2.00 cr ,Demonstrate knowledge of Ethics in an ECE service,Early Childhood Education and Care,,CHC7,Social Science,15
U.S. 26712 v2,4.00 cr ,"Demonstrate knowledge of, and apply, age-related nutrition needs in providing food for a child in an ECE service",Early Childhood Education and Care,,CHC7,Social Science,19
U.S. 10013 v4,2.00 cr ,"Explain the purpose, aspirations, structure, and relevance of the New Zealand Early Childhood Curriculum, Te Whariki",Early Childhood Education and Care,,CHD8,Social Science,16
U.S. 10019 v4,4.00 cr ,Describe and contribute to safe practices and a safe environment for a child in an ECE service,Early Childhood Education and Care,,CHD8,Social Science,16
U.S. 10026 v4,5.00 cr ,Demonstrate knowledge of the development and learning of children and its relevance to an ECE service,Early Childhood Education and Care,,CHD8,Social Science,16
U.S. 26708 v2,5.00 cr ,Develop reciprocal and responsive relationships with a child in an ECE service,Early Childhood Education and Care,,CHD8,Social Science,16
U.S. 27146 v2,4.00 cr ,Demonstrate knowledge of organisations relevant to ECE services in Aotearoa/New Zealand,Early Childhood Education and Care,,CHD8,Social Science,16
A.S. 91200 v2,4.00 cr ,Classical Studies 2.1 - Examine ideas and values of the classical world,Social Science Studies,External,CLS7,Social Science,17
A.S. 91201 v2,4.00 cr ,Classical Studies 2.2 - Examine the significance of features of work(s) of art in the classical world,Social Science Studies,External,CLS7,Social Science,17
A.S. 91202 v1,4.00 cr ,Classical Studies 2.3 - Demonstrate understanding of a significant event in the classical world,Social Science Studies,,CLS7,Social Science,18
A.S. 91204 v1,6.00 cr ,Classical Studies 2.5 - Demonstrate understanding of the relationship between aspects of the classical world and aspects of other cultures,Social Science Studies,,CLS7,Social Science,15
A.S. 91394 v1,4.00 cr ,Classical Studies 3.1 - Analyse ideas and values of the classical world,Social Science Studies,External,CLS8,Social Science,35
A.S. 91395 v1,4.00 cr ,Classical Studies 3.2 - Analyse the significance of a work(s) of art in the classical world,Social Science Studies,External,CLS8,Social Science,30
A.S. 91396 v1,6.00 cr ,Classical Studies 3.3 - Analyse the impact of a significant historical figure on the classical world,Social Science Studies,External,CLS8,Social Science,32
A.S. 91397 v1,6.00 cr ,Classical Studies 3.4 - Demonstrate understanding of significant ideology(ies) in the classical world,Social Science Studies,,CLS8,Social Science,39
A.S. 91398 v1,6.00 cr ,Classical Studies 3.5 - Demonstrate understanding of the lasting influences of the classical world on other cultures across time,Social Science Studies,,CLS8,Social Science,22
A.S. 90983 v3,4.00 cr ,"Economics 1.1 - Demonstrate understanding of consumer choices, using scarcity and/or demand",Economic Theory and Practice,External,ECO6,Social Science,24
A.S. 90984 v2,5.00 cr ,Economics 1.2 - Demonstrate understanding of decisions a producer makes about production,Economic Theory and Practice,,ECO6,Social Science,26
A.S. 90985 v3,3.00 cr ,Economics 1.3 - Demonstrate understanding of producer choices using supply,Economic Theory and Practice,External,ECO6,Social Science,23
A.S. 90986 v3,5.00 cr ,"Economics 1.4 - Demonstrate understanding of how consumer, producer and/or government choices affect society, using market equilibrium",Economic Theory and Practice,External,ECO6,Social Science,22
A.S. 90987 v2,4.00 cr ,Economics 1.5 - Demonstrate understanding of a government choice where affected groups have different viewpoints,Economic Theory and Practice,,ECO6,Social Science,26
A.S. 90988 v2,3.00 cr ,Economics 1.6 - Demonstrate understanding of the interdependence of sectors of the New Zealand economy,Economic Theory and Practice,,ECO6,Social Science,26
A.S. 91222 v2,4.00 cr ,Economics 2.1 - Analyse inflation using economic concepts and models,Economic Theory and Practice,External,ECO7,Social Science,19
A.S. 91223 v2,4.00 cr ,Economics 2.2 - Analyse international trade using economic concepts and models,Economic Theory and Practice,External,ECO7,Social Science,19
A.S. 91224 v2,4.00 cr ,Economics 2.3 - Analyse economic growth using economic concepts and models,Economic Theory and Practice,External,ECO7,Social Science,19
A.S. 91225 v1,4.00 cr ,Economics 2.4 - Analyse unemployment using economic concepts and models,Economic Theory and Practice,,ECO7,Social Science,17
A.S. 91226 v1,4.00 cr ,Economics 2.5 - Analyse statistical data relating to two contemporary economic issues,Economic Theory and Practice,,ECO7,Social Science,19
A.S. 91227 v1,6.00 cr ,Economics 2.6 - Analyse how government policies and contemporary economic issues interact,Economic Theory and Practice,,ECO7,Social Science,19
A.S. 91399 v1,4.00 cr ,Economics 3.1 - Demonstrate understanding of the efficiency of market equilibrium,Economic Theory and Practice,External,ECO8,Social Science,22
A.S. 91400 v1,4.00 cr ,Economics 3.2 - Demonstrate understanding of the efficiency of different market structures using marginal analysis,Economic Theory and Practice,External,ECO8,Social Science,22
A.S. 91401 v1,5.00 cr ,Economics 3.3 - Demonstrate understanding of micro-economic concepts,Economic Theory and Practice,,ECO8,Social Science,20
A.S. 91402 v1,5.00 cr ,Economics 3.4 - Demonstrate understanding of government interventions to correct market failures,Economic Theory and Practice,,ECO8,Social Science,20
A.S. 91403 v1,6.00 cr ,Economics 3.5 - Demonstrate understanding of macro-economic influences on the New Zealand economy,Economic Theory and Practice,External,ECO8,Social Science,22
A.S. 91007 v3,4.00 cr ,Geography 1.1 - Demonstrate geographic understanding of environments that have been shaped by extreme natural event(s),Social Science Studies,External,GEO6,Social Science,35
A.S. 91009 v2,3.00 cr ,Geography 1.3 - Demonstrate geographic understanding of the sustainable use of an environment,Social Science Studies,,GEO6,Social Science,32
A.S. 91010 v2,4.00 cr ,Geography 1.4 - Apply concepts and basic geographic skills to demonstrate understanding of a given environment,Social Science Studies,External,GEO6,Social Science,34
A.S. 91011 v2,4.00 cr ,"Geography 1.5 - Conduct geographic research, with direction",Social Science Studies,,GEO6,Social Science,32
A.S. 91012 v1,3.00 cr ,Geography 1.6 - Describe aspects of a contemporary New Zealand geographic issue,Social Science Studies,,GEO6,Social Science,31
A.S. 91013 v1,3.00 cr ,Geography 1.7 - Describe aspects of a geographic topic at a global scale,Social Science Studies,,GEO6,Social Science,35
A.S. 91240 v2,4.00 cr ,Geography 2.1 - Demonstrate geographic understanding of a large natural environment,Social Science Studies,External,GEO7,Social Science,23
A.S. 91241 v2,3.00 cr ,Geography 2.2 - Demonstrate geographic understanding of an urban pattern,Social Science Studies,,GEO7,Social Science,22
A.S. 91243 v2,4.00 cr ,Geography 2.4 - Apply geography concepts and skills to demonstrate understanding of a given environment,Social Science Studies,External,GEO7,Social Science,23
A.S. 91244 v2,5.00 cr ,Geography 2.5 - Conduct geographic research with guidance,Social Science Studies,,GEO7,Social Science,
A.S. 91245 v2,3.00 cr ,Geography 2.6 - Explain aspects of a contemporary New Zealand geographic issue,Social Science Studies,,GEO7,Social Science,20
A.S. 91246 v2,3.00 cr ,Geography 2.7 - Explain aspects of a geographic topic at a global scale,Social Science Studies,,GEO7,Social Science,22
A.S. 91426 v1,4.00 cr ,Geography 3.1 - Demonstrate understanding of how interacting natural processes shape a New Zealand geographic environment,Social Science Studies,External,GEO8,Social Science,16
A.S. 91427 v1,4.00 cr ,Geography 3.2 - Demonstrate understanding of how a cultural process shapes geographic environment(s),Social Science Studies,External,GEO8,Social Science,
A.S. 91428 v1,3.00 cr ,Geography 3.3 - Analyse a significant contemporary event from a geographic perspective,Social Science Studies,,GEO8,Social Science,
A.S. 91429 v1,4.00 cr ,Geography 3.4 - Demonstrate understanding of a given environment(s) through selection and application of geographic concepts and skills,Social Science Studies,External,GEO8,Social Science,18
A.S. 91430 v1,5.00 cr ,Geography 3.5 - Conduct geographic research with consultation,Social Science Studies,,GEO8,Social Science,19
A.S. 91431 v1,3.00 cr ,Geography 3.6 - Analyse aspects of a contemporary geographic issue,Social Science Studies,,GEO8,Social Science,18
A.S. 91432 v1,3.00 cr ,Geography 3.7 - Analyse aspects of a geographic topic at a global scale,Social Science Studies,,GEO8,Social Science,18
A.S. 91001 v3,4.00 cr ,"History 1.1 - Carry out an investigation of an historical event, or place, of significance to New Zealanders",Social Science Studies,,HIS6,Social Science,28
A.S. 91002 v3,4.00 cr ,"History 1.2 - Demonstrate understanding of an historical event, or place, of significance to New Zealanders",Social Science Studies,,HIS6,Social Science,29
A.S. 91003 v3,4.00 cr ,History 1.3 - Interpret sources of an historical event of significance to New Zealanders,Social Science Studies,External,HIS6,Social Science,24
A.S. 91004 v3,4.00 cr ,History 1.4 - Demonstrate understanding of different perspectives of people in an historical event of significance to New Zealanders,Social Science Studies,,HIS6,Social Science,28
A.S. 91005 v3,4.00 cr ,History 1.5 - Describe the causes and consequences of an historical event,Social Science Studies,External,HIS6,Social Science,24
A.S. 91229 v2,4.00 cr ,History 2.1 - Carry out an inquiry of an historical event or place that is of significance to New Zealanders,Social Science Studies,,HIS7,Social Science,32
A.S. 91230 v2,5.00 cr ,History 2.2 - Examine an historical event or place that is of significance to New Zealanders,Social Science Studies,,HIS7,Social Science,32
A.S. 91231 v2,4.00 cr ,History 2.3 - Examine sources of an historical event that is of significance to New Zealanders,Social Science Studies,External,HIS7,Social Science,14
A.S. 91232 v2,5.00 cr ,History 2.4 - Interpret different perspectives of people in an historical event that is of significance to New Zealanders,Social Science Studies,,HIS7,Social Science,27
A.S. 91233 v2,5.00 cr ,History 2.5 - Examine causes and consequences of a significant historical event,Social Science Studies,External,HIS7,Social Science,17
A.S. 91434 v1,5.00 cr ,"History 3.1 - Research an historical event or place of significance to New Zealanders, using primary and secondary sources",Social Science Studies,,HIS8,Social Science,20
A.S. 91435 v1,5.00 cr ,"History 3.2 - Analyse an historical event, or place, of significance to New Zealanders",Social Science Studies,,HIS8,Social Science,20
A.S. 91436 v1,4.00 cr ,History 3.3 - Analyse evidence relating to an historical event of significance to New Zealanders,Social Science Studies,External,HIS8,Social Science,17
A.S. 91437 v1,5.00 cr ,History 3.4 - Analyse different perspectives of a contested event of significance to New Zealanders,Social Science Studies,,HIS8,Social Science,21
A.S. 91438 v1,6.00 cr ,History 3.5 - Analyse the causes and consequences of a significant historical event,Social Science Studies,External,HIS8,Social Science,18
U.S. 10337 v4,3.00 cr ,Describe the legal rights and personal responsibilities of secondary school students,Social Science Studies,,LAW7,Social Science,14
U.S. 27836 v1,4.00 cr ,Explain concepts of democracy and government in a New Zealand context,Social Science Studies,,LAW7,Social Science,
U.S. 27839 v1,4.00 cr ,Explain concepts of justice,Social Science Studies,,LAW7,Social Science,
U.S. 8543 v3,2.00 cr ,Describe the role of law and its relationship with New Zealand society,Social Science Studies,,LAW7,Social Science,
U.S. 8545 v3,3.00 cr ,"Describe factors contributing to, and consequences of, crime",Social Science Studies,,LAW7,Social Science,12
U.S. 8551 v3,3.00 cr ,"Describe the application of New Zealand law to marriage, civil union, and de-facto relationships",Social Science Studies,,LAW7,Social Science,14
U.S. 8552 v4,2.00 cr ,Describe legal consequences and protections relating to domestic violence and child abuse,Social Science Studies,,LAW7,Social Science,
U.S. 8555 v2,3.00 cr ,Describe the purpose and application of consumer law,Social Science Studies,,LAW7,Social Science,14
U.S. 10347 v4,5.00 cr ,Demonstrate knowledge of the development of the New Zealand legal system,Social Science Studies,,LAW8,Social Science,30
U.S. 27837 v1,4.00 cr ,Evaluate a concept of democracy and government in relation to restraint on state power,Social Science Studies,,LAW8,Social Science,28
U.S. 27840 v1,4.00 cr ,Evaluate a concept of justice in relation to a specific situation,Social Science Studies,,LAW8,Social Science,28
U.S. 27843 v1,4.00 cr ,Evaluate a concept of law in relation to a specific situation,Social Science Studies,,LAW8,Social Science,26
U.S. 27852 v1,4.00 cr ,Evaluate systems of government and their formation,Social Science Studies,,LAW8,Social Science,28
U.S. 24728 v1,3.00 cr ,Demonstrate knowledge of work roles in tourism,Tourism,,TRM7,Social Science,46
U.S. 24729 v2,4.00 cr ,Demonstrate knowledge of world tourist destinations,Tourism,,TRM7,Social Science,49
U.S. 24730 v1,4.00 cr ,Demonstrate knowledge of the business of tourism,Tourism,,TRM7,Social Science,49
U.S. 24731 v2,4.00 cr ,Demonstrate knowledge of destination New Zealand,Tourism,,TRM7,Social Science,56
U.S. 24732 v1,3.00 cr ,Demonstrate knowledge of tourist characteristics and needs,Tourism,,TRM7,Social Science,55
U.S. 2989 v5,3.00 cr ,"Select, read, and assess texts to gain knowledge",Communication Skills,,TRM7,Social Science,56
U.S. 18211 v2,8.00 cr ,Demonstrate knowledge of Australia as a tourist destination,Tourism,,TRM8,Social Science,55
U.S. 24725 v1,4.00 cr ,Describe and analyse the economic significance of tourism,Tourism,,TRM8,Social Science,63
U.S. 24733 v1,4.00 cr ,Describe and promote a New Zealand tourist destination,Tourism,,TRM8,Social Science,28
U.S. 2989 v5,3.00 cr ,"Select, read, and assess texts to gain knowledge",Communication Skills,,TRM8,Social Science,31
U.S. 3727 v6,8.00 cr ,Demonstrate knowledge of Pacific Island countries as tourist destinations,Tourism,,TRM8,Social Science,60
U.S. 15408 v5,4.00 cr ,Describe motor vehicle safe motoring requirements and general locations of systems and components,Motor Industry,,AUT7,Technology,
U.S. 16113 v5,2.00 cr ,Demonstrate knowledge of safe working practices in an automotive workshop,Motor Industry,,AUT7,Technology,6
U.S. 21683 v1,2.00 cr ,Demonstrate knowledge of MIG welding in the motor industry,Motor Industry,,AUT7,Technology,7
U.S. 21684 v1,3.00 cr ,Use a MIG welding plant in the motor industry,Motor Industry,,AUT7,Technology,6
U.S. 21857 v2,2.00 cr ,Identify the occupational areas and structure of the New Zealand Motor Industry,Motor Industry,,AUT7,Technology,6
U.S. 21858 v1,4.00 cr ,Demonstrate good work habits and perform safe work practices in the motor and related industries,Motor Industry,,AUT7,Technology,1
U.S. 26623 v1,4.00 cr ,Use number to solve problems,Core Generic,,AUT7,Technology,
U.S. 3856 v8,2.00 cr ,Identify emergency procedures in the motor and related industries,Motor Industry,,AUT7,Technology,6
U.S. 4261 v4,3.00 cr ,Identify legal rights and obligations in relation to owning and operating a private motor vehicle,Core Generic,,AUT7,Technology,8
A.S. 91063 v4,3.00 cr ,Design and Visual Communication 1.30 - Produce freehand sketches that communicate design ideas,Technology,External,BCF6,Technology,
A.S. 91065 v4,3.00 cr ,Design and Visual Communication 1.32 - Produce instrumental paraline drawings to communicate design ideas,Technology,External,BCF6,Technology,
A.S. 91069 v4,4.00 cr ,Design and Visual Communication 1.36 - Promote an organised body of design work to an audience using visual communication techniques,Technology,,BCF6,Technology,
U.S. 24352 v1,2.00 cr ,Demonstrate knowledge of and apply safe working practices in the construction of a BCATS project,Construction Trades,,BCF6,Technology,62
U.S. 24355 v1,4.00 cr ,Demonstrate knowledge of construction and manufacturing materials used in BCATS projects,Construction Trades,,BCF6,Technology,67
U.S. 24356 v1,8.00 cr ,Apply elementary workshop procedures and processes for BCATS projects,Construction Trades,,BCF6,Technology,67
U.S. 25920 v1,3.00 cr ,Use joints for a BCATS project,Construction Trades,,BCF6,Technology,65
U.S. 12927 v3,6.00 cr ,"Identify, select, maintain, and use hand tools for BCATS projects",Construction Trades,,BCF7,Technology,20
U.S. 12932 v3,8.00 cr ,Construct timber garden furniture and items of basic construction equipment as a BCATS project,Construction Trades,,BCF7,Technology,20
U.S. 24350 v1,6.00 cr ,"Identify, select, maintain, and use portable power tools for BCATS projects",Construction Trades,,BCF7,Technology,20
A.S. 90956 v2,5.00 cr ,Home Economics 1.1 - Demonstrate knowledge of an individual's nutritional needs,Health and Physical Education,,CFL6,Technology,21
A.S. 90959 v1,5.00 cr ,Home Economics 1.4 - Demonstrate knowledge of practices and strategies to address food handling issues,Health and Physical Education,,CFL6,Technology,17
A.S. 90961 v3,4.00 cr ,Home Economics 1.6 - Demonstrate understanding of how packaging information influences an individual's food choices and well-being,Health and Physical Education,External,CFL6,Technology,16
A.S. 91057 v2,6.00 cr ,Construction and Mechanical Technologies 1.20 - Implement basic procedures using resistant materials to make a specified product,Technology,,EGP6,Technology,43
U.S. 22923 v2,12.00 cr ,Demonstrate basic engineering workshop skills under close supervision,Mechanical Engineering,,EGP6,Technology,33
U.S. 22924 v2,10.00 cr ,Develop a simple product using engineering materials,Mechanical Engineering,,EGP6,Technology,10
U.S. 22926 v2,2.00 cr ,Demonstrate knowledge of safety procedures in a specific engineering workshop,Mechanical Engineering,,EGP6,Technology,43
U.S. 4433 v6,2.00 cr ,"Select, use, and care for simple measuring devices used in engineering",Mechanical Engineering,,EGP6,Technology,
A.S. 91344 v2,6.00 cr ,Construction and Mechanical Technologies 2.20 - Implement advanced procedures using resistant materials to make a specified product with special features,Technology,,EGP7,Technology,11
A.S. 91620 v2,6.00 cr ,Construction and Mechanical Technologies 3.20 - Implement complex procedures to integrate parts using resistant materials to make a specified product,Technology,,EGP7,Technology,2
U.S. 2395 v8,4.00 cr ,"Select, use, and care for, engineering hand tools",Mechanical Engineering,,EGP7,Technology,13
U.S. 2430 v7,4.00 cr ,Manually produce and interpret engineering sketches under supervision,Mechanical Engineering,,EGP7,Technology,12
U.S. 4435 v7,3.00 cr ,"Select, use, and care for engineering dimensional measuring equipment",Mechanical Engineering,,EGP7,Technology,12
U.S. 4436 v6,4.00 cr ,"Select, use, and care for engineering marking-out equipment",Mechanical Engineering,,EGP7,Technology,12
A.S. 91047 v1,6.00 cr ,Generic Technology 1.4 - Undertake development to make a prototype to address a brief,Technology,,FDT6,Technology,30
A.S. 91058 v1,6.00 cr ,Construction and Mechanical Technologies 1.21 - Implement basic procedures using textile materials to make a specified product,Technology,,FDT6,Technology,27
A.S. 91067 v2,3.00 cr ,Design and Visual Communication 1.34 - Use the work of an influential designer to inform design ideas,Technology,,FDT6,Technology,31
A.S. 91096 v2,4.00 cr ,Construction and Mechanical Technologies 1.26 - Make basic adaptations to a pattern to enable a design to fit a person or item,Technology,,FDT6,Technology,31
A.S. 91340 v1,3.00 cr ,Design and Visual Communication 2.33 - Use the characteristics of a design movement or era to inform own design ideas,Technology,,FDT7,Technology,19
A.S. 91345 v1,6.00 cr ,Construction and Mechanical Technologies 2.21 - Implement advanced procedures using textile materials to make a specified product with special features,Technology,,FDT7,Technology,18
A.S. 91357 v1,6.00 cr ,Generic Technology 2.4 - Undertake effective development to make and trial a prototype,Technology,,FDT7,Technology,19
A.S. 91623 v2,4.00 cr ,Construction and Mechanical Technologies 3.23 - Implement complex procedures to create an applied design for a specified product,Technology,,FDT7,Technology,
U.S. 6692 v4,5.00 cr ,Prepare for and construct a leisure garment,Home and Life Sciences,,FDT7,Technology,19
A.S. 91611 v1,6.00 cr ,Generic Technology 3.4 - Develop a prototype considering fitness for purpose in the broadest sense,Technology,,FDT8,Technology,10
A.S. 91621 v1,6.00 cr ,Construction and Mechanical Technologies 3.21 - Implement complex procedures using textile materials to make a specified product,Technology,,FDT8,Technology,10
A.S. 91623 v2,4.00 cr ,Construction and Mechanical Technologies 3.23 - Implement complex procedures to create an applied design for a specified product,Technology,,FDT8,Technology,10
U.S. 6700 v4,6.00 cr ,Prepare for and construct a textile item for specified purpose,Home and Life Sciences,,FDT8,Technology,10
U.S. 6701 v4,6.00 cr ,Prepare for and construct a garment using special fabric,Home and Life Sciences,,FDT8,Technology,10
A.S. 90958 v2,5.00 cr ,Home Economics 1.3 - Demonstrate understanding of how cultural practices influence eating patterns in New Zealand,Health and Physical Education,,FTE5,Technology,
U.S. 19770 v3,2.00 cr ,Prepare and present egg and cheese dishes in the hospitality industry,Hospitality,,FTE5,Technology,15
U.S. 26625 v3,3.00 cr ,Actively participate in spoken interactions,Core Generic,,FTE5,Technology,
A.S. 90956 v2,5.00 cr ,Home Economics 1.1 - Demonstrate knowledge of an individual's nutritional needs,Health and Physical Education,,FTE6,Technology,66
A.S. 90957 v2,5.00 cr ,Home Economics 1.2 - Demonstrate understanding of societal influences on an individual's food choices and well-being,Health and Physical Education,,FTE6,Technology,77
A.S. 90959 v1,5.00 cr ,Home Economics 1.4 - Demonstrate knowledge of practices and strategies to address food handling issues,Health and Physical Education,,FTE6,Technology,73
